Index,Puzzle,Year,Category,INF-WC,INF-NWC,INF-stacking,INF-all,RMSD,DI-all,MCQ,p-value
35,PZ34,2022,Server,"0,84",0,"0,72","0,719","12,971","18,03","17,83","0,00000000344"
35,PZ34,2022,Server,"0,873",0,"0,731","0,747","13,047","17,463","17,2","0,00000000442"
35,PZ34,2022,Human,"0,873",0,"0,731","0,747","13,047","17,463","17,2","0,00000000442"
35,PZ34,2022,Server,1,0,"0,766","0,8","13,225","16,528","17,41","0,00000000789"
35,PZ34,2022,Server,"0,873",0,"0,691","0,72","13,229","18,383","18,93","0,00000000798"
35,PZ34,2022,Server,"0,884",0,"0,673","0,705","13,236","18,77","20,77","0,00000000819"
35,PZ34,2022,Human,"0,865",0,"0,726","0,727","13,24","18,2","22,07","0,00000000828"
35,PZ34,2022,Human,"0,891",0,"0,597","0,658","13,383","20,334","19,75","0,0000000131"
35,PZ34,2022,Server,"0,873",0,"0,663","0,692","13,392","19,351","17,31","0,0000000135"
35,PZ34,2022,Human,"0,802",0,"0,716","0,708","13,598","19,202","19,52","0,0000000258"
35,PZ34,2022,Human,"0,619",0,"0,635","0,594","13,669","23,024","19,79","0,0000000322"
35,PZ34,2022,Server,"0,786",0,"0,632","0,648","13,862","21,404","17,12","0,0000000582"
35,PZ34,2022,Human,"0,813",0,"0,673","0,696","13,871","19,923","20,27","0,0000000598"
35,PZ34,2022,Server,"0,905",0,"0,602","0,659","13,942","21,159","21,22","0,0000000742"
35,PZ34,2022,Human,"0,873",0,"0,648","0,696","14,104","20,258","19,78","0,00000012"
35,PZ34,2022,Server,"0,837",0,"0,669","0,686","14,25","20,778","24,92","0,000000185"
35,PZ34,2022,Human,"0,857",0,"0,661","0,689","14,322","20,772","18,54","0,000000229"
35,PZ34,2022,Human,"0,878",0,"0,625","0,647","14,328","22,153","23,8","0,000000232"
35,PZ34,2022,Human,"0,878",0,"0,625","0,647","14,328","22,153","23,8","0,000000232"
35,PZ34,2022,Server,"0,829",0,"0,709","0,708","14,373","20,312","17,38","0,000000265"
35,PZ34,2022,Server,"0,927",0,"0,703","0,704","14,67","20,85","17,72","0,000000618"
35,PZ34,2022,Server,"0,905",0,"0,691","0,704","14,77","20,992","17,16","0,000000816"
35,PZ34,2022,Human,"0,772",0,"0,57","0,6","14,803","24,658","22,3","0,000000893"
35,PZ34,2022,Server,"0,756",0,"0,72","0,693","14,911","21,508","15,89","0,0000012"
35,PZ34,2022,Human,"0,878",0,"0,656","0,663","15,181","22,883","24,83","0,00000248"
35,PZ34,2022,Human,"0,72",0,"0,595","0,61","15,184","24,912","22,7","0,0000025"
35,PZ34,2022,Human,"0,905",0,"0,667","0,687","15,401","22,404","23,82","0,00000442"
35,PZ34,2022,Human,"0,905",0,"0,667","0,687","15,401","22,404","23,82","0,00000442"
35,PZ34,2022,Human,"0,878",0,"0,685","0,668","15,546","23,278","23,49","0,0000064"
35,PZ34,2022,Human,"0,905",0,"0,668","0,692","15,725","22,74","21,59","0,0000101"
35,PZ34,2022,Human,"0,905",0,"0,668","0,692","15,725","22,74","21,59","0,0000101"
35,PZ34,2022,Human,"0,901",0,"0,629","0,672","15,757","23,435","24,61","0,0000109"
35,PZ34,2022,Server,"0,927",0,"0,698","0,728","15,925","21,89","19,35","0,0000164"
35,PZ34,2022,Human,"0,951",0,"0,645","0,706","16,425","23,27","24,98","0,0000533"
35,PZ34,2022,Human,"0,9",0,"0,71","0,737","16,811","22,807","26,62","0,000126"
35,PZ34,2022,Human,"0,845",0,"0,567","0,618","17,008","27,514","28,55","0,000192"
35,PZ34,2022,Human,"0,865",0,"0,667","0,688","17,229","25,045","24,88","0,000303"
35,PZ34,2022,Human,"0,846",0,"0,593","0,622","17,27","27,749","21,53","0,00033"
35,PZ34,2022,Human,"0,751",0,"0,56","0,569","17,324","30,454","21,31","0,000368"
35,PZ34,2022,Human,"0,845",0,"0,702","0,703","17,477","24,854","34,58","0,0005"
35,PZ34,2022,Human,"0,819",0,"0,556","0,606","17,833","29,44","20,81","0,000991"
35,PZ34,2022,Human,"0,9",0,"0,632","0,692","17,848","25,807","35,31","0,00102"
35,PZ34,2022,Human,"0,951",0,"0,686","0,72","18,083","25,115","21,52","0,00157"
35,PZ34,2022,Human,"0,905",0,"0,636","0,687","18,154","26,415","27,56","0,00178"
35,PZ34,2022,Human,"0,874",0,"0,63","0,677","18,43","27,221","37,37","0,00288"
35,PZ34,2022,Human,"0,802",0,"0,635","0,645","18,686","28,959","19,56","0,00441"
35,PZ34,2022,Human,"0,857",0,"0,629","0,663","18,874","28,468","23,23","0,00596"
35,PZ34,2022,Human,"0,851",0,"0,609","0,641","19,172","29,914","23,57","0,00942"
35,PZ34,2022,Human,"0,794",0,"0,569","0,597","21,255","35,596","27,75","0,117"
